citing_title	cited_title	abs_abs	context_context	citing_context_cited_abs	Category
School Firearm Violence Prevention Practices and Policies: Functional or Folly?	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.23727548122406006	0.26232603192329407	0.1845134049654007	good
Arming Schoolteachers: What Do We Know? Where Do We Go From Here?	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.21021467447280884	0.2698381245136261	0.18182361125946045	good
A Scoping Review of Police Involvement in School Crisis Response for Mental Health Emergencies	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.21635682880878448	0.2502710819244385	0.19425255060195923	good
A Scoping Review of Police Involvement in School Crisis Response for Mental Health Emergencies	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.21635682880878448	0.21454693377017975	0.166106179356575	good
Teacher Preparedness for School Shootings: A Qualitative Design and Development Model Use Case Study	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.2073114663362503	0.3178328573703766	0.13812902569770813	neutral
PUBLIC SCHOOL SAFETY AND INTERVENTION PROGRAM IMPROVEMENT PARTICIPATORY ACTION RESEARCH	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.21989531815052032	0.484384149312973	0.17823900282382965	good
Outcome of Vacuum Assisted Dressing in Open Comminuted Tibial Fracture with Primary Fixation	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.17467541992664337	0.07634305208921432	0.12087637186050415	bad
PENERAPAN MODEL GUIDED CONTEXT-AND PROBLEM-BASED LEARNING	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.18862080574035645	0.14155109226703644	0.11440873891115189	bad
Herbal immune-boosters: Substantial warriors of pandemic Covid-19 battle	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.18826711177825928	0.3540093004703522	0.1412627249956131	neutral
Marine Peptides: Bioactivities and Applications	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.18957214057445526	0.34873053431510925	0.16635404527187347	good
Significances of exponential heating and Darcy's law for second grade fluid flow over oscillating plate by using Atangana-Baleanu fractional derivatives	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.1716289073228836	0.1677485704421997	0.10229114443063736	bad
Global quantitative and qualitative assessment of drought research from 1861 to 2019	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.1721167117357254	0.10475239902734756	0.12721370160579681	bad
Depression, anxiety, stress and their associated factors among Ethiopian University students during an early stage of COVID-19 pandemic: An online-based cross-sectional survey	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.18266327679157257	0.12623681128025055	0.1194528117775917	bad
