citing_title	cited_title	abs_pair	context_pair	Category
School Firearm Violence Prevention Practices and Policies: Functional or Folly?	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.23587845265865326	0.17797429859638214	good
Arming Schoolteachers: What Do We Know? Where Do We Go From Here?	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.20633889734745026	0.18477468192577362	good
A Scoping Review of Police Involvement in School Crisis Response for Mental Health Emergencies	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.1978379338979721	0.16739630699157715	good
A Scoping Review of Police Involvement in School Crisis Response for Mental Health Emergencies	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.20445604622364044	0.16185368597507477	good
Teacher Preparedness for School Shootings: A Qualitative Design and Development Model Use Case Study	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.20717108249664307	0.13385725021362305	neutral
PUBLIC SCHOOL SAFETY AND INTERVENTION PROGRAM IMPROVEMENT PARTICIPATORY ACTION RESEARCH	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.2094203233718872	0.16452710330486298	good
Outcome of Vacuum Assisted Dressing in Open Comminuted Tibial Fracture with Primary Fixation	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.1722373217344284	0.11727607995271683	bad
PENERAPAN MODEL GUIDED CONTEXT-AND PROBLEM-BASED LEARNING	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.1880292445421219	0.11345219612121582	bad
Herbal immune-boosters: Substantial warriors of pandemic Covid-19 battle	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.180231511592865	0.13039471209049225	neutral
Marine Peptides: Bioactivities and Applications	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.18392735719680786	0.15787029266357422	good
Significances of exponential heating and Darcy's law for second grade fluid flow over oscillating plate by using Atangana-Baleanu fractional derivatives	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.16752280294895172	0.1037994995713234	bad
Global quantitative and qualitative assessment of drought research from 1861 to 2019	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.16769933700561523	0.12506718933582306	bad
Depression, anxiety, stress and their associated factors among Ethiopian University students during an early stage of COVID-19 pandemic: An online-based cross-sectional survey	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.18027202785015106	0.11803843826055527	bad
