citing_abs	cited_abs	Cos_similarity	Category
Firearm injuries leading cause death youth ( 14 % deaths youth 1–19 years age ) . 2016 , 3155 firearm deaths youths < 19 years age . Recently , school firearm violence school shootings received increasing attention school personnel , policymakers , mass media . , little known prevention reduction school firearm violence . purpose narrative review describe current practices school firearm violence prevention use disease prevention health promotion framework describe current practices policies school firearm violence prevention measures . comprehensive review literature conducted years 2000 2018 search school - based practices reduce firearm violence . Hundreds millions dollars spent harden schools . currently employed school firearm violence prevention methods empirical evidence actually diminish firearm violence schools . extent schools adopt ineffective firearm violence prevention measures , creating false sense security . School systems need engage collaborative research evidence - based practices policy advocacy coalition building address state firearm laws . Schools need expand mental health services cost - effective educational interventions reducing violence ( e.g. , bullying , peer mediation , conflict resolution , etc . ) . Hardening schools questionable endeavor schools , given dearth evidence effectiveness . 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.25668320059776306	good
recent mass school shooting Parkland , Florida , reignited national conversation arming teachers . gun violence prevention research historically underfunded,1 strong support studying prevalence violent behaviors broadly schools role preventive efforts ( curricula , increased social support services , parent engagement ) reducing behaviors . , know little , , effectiveness arming teachers deterring gun violence schools . Furthermore , uncertainty schools operationalize kind proposal perpetuates concerns . teachers , school administrators , parents , policymakers seek build safer school communities , need far better understanding implications arming teachers school environment , child development , student learning outcomes , existing school safety policies , costs interventions , including added responsibilities impose teachers school administrators . arm uniformed police officers expectation appropriately trained protect firearms times crisis . teachers conceivably capable appropriately firearms , evidence - based guidelines available help develop necessary training teachers continued instruction needed maintain preparedness ready crisis strikes . means identifying teachers willing significant responsibility . information nonuniformed , armed civilian teachers reduce increase risks students uniformed law enforcement arrives crisis . words , debating new profession combines responsibilities law enforcement officer teacher feasible , given caveats . 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.2629832923412323	good
purpose scoping literature review examine research police involvement school mental health crisis response . search conducted PsychInfo , PubMed , ERIC initially identified 315 articles . applying inclusion / exclusion criteria , 47 articles remained . Detailed review data extraction independent reviewers resulted final article count . primary themes identified articles : ( 1 ) perceptions consequences law enforcement presence schools ; ( 2 ) role school - community partnerships successful crisis response models ; ( 3 ) gaps research challenges implementing scaling existing models . practice law enforcement officers involved school mental health crisis response , limited empirical research supporting approach . review return randomized trials . absence empirical evidence supporting use current models , need research law enforcement involvement school crisis response , broadly , community - partnered models responding student mental health needs . 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.26062676310539246	good
purpose scoping literature review examine research police involvement school mental health crisis response . search conducted PsychInfo , PubMed , ERIC initially identified 315 articles . applying inclusion / exclusion criteria , 47 articles remained . Detailed review data extraction independent reviewers resulted final article count . primary themes identified articles : ( 1 ) perceptions consequences law enforcement presence schools ; ( 2 ) role school - community partnerships successful crisis response models ; ( 3 ) gaps research challenges implementing scaling existing models . practice law enforcement officers involved school mental health crisis response , limited empirical research supporting approach . review return randomized trials . absence empirical evidence supporting use current models , need research law enforcement involvement school crisis response , broadly , community - partnered models responding student mental health needs . 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.26062676310539246	good
industries implement online learning training professional development enhance student experience . specific problem addressed study school staff adequate knowledge mitigating violence , school shootings , ineffective current professional development . design development model use case study aimed use validated instructional design model design , develop , implement professional development K–12 teachers staff mitigate school shooting risks informed content experts . conceptual framework study consisted constructivism interpretivism theories adult students . student experience assessed Kirkpatrick evaluation Levels 1 2 . samples qualitative study included content experts K – 12 teachers . Data analyzed deductive inductive coding Clarke Braun steps thematic analysis coding NVivo . K–12 teachers found value content delivery improved professional development feel better prepared assist troubled students prevent violence . teachers expressed positive feedback continuing training performed summative assessment . Study implications validated instructional design model panel experts improve student experience professional development content improves preparedness . Sensitive content effectively delivered instructional design best practices . Participants feel better prepared work community , law enforcement , improve training . study contributes practice demonstrating professional development school shootings relevant engaging . Social - Emotional Learning programs practices expand , K–12 teachers staff foster partnerships local law enforcement emergency management experts . 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.23951514065265656	neutral
Participatory action research process researchers operate collaborators members organization ( stakeholders ) linking theory research acceptable effective practice . Schools charged use approach address challenges developing system - level interventions current problematic areas , family - school partnerships economically disadvantaged culturally linguistically diverse families . Participatory action research means school psychologists , participatory researchers , provide leadership collaborative research schools development system - level interventions . case study described school psychologist served participatory researcher action research process development family - school partnership program Chapter , ethnically linguistically diverse elementary school . outcomes indicated participatory action research process resulted design implementation research - based family - school partnership program culturally specific , acceptable stakeholders ( parents teachers ) , potential sustainability . Participatory action research viable means school psychologists provide leadership developing research - based , effective acceptable system - level interventions schools . 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.250805526971817	good
simultaneous exposure tissue bone poses specific management challenges . Patients extended soft tissue damage high - grade compound fractures present demanding clinical challenge , requiring complex approach multiple orthopaedic , plastic , vascular - reconstructive procedures . Management involves combinations wound debridement closure secondary intention , use vacuum - assisted closure ( VAC ) devices , reconstructive plastic surgery methods . present consecutive complicated cases , involving compound fractures lower limb massive soft tissue damage ( Gustilo - Anderson type IIIB ) managed debridement , application external fixation VAC device . mean wound size 24 cm length 12 cm width . aim treatment cover bone soft tissue achieve healing fracture persistent infection . Wound healing achieved cases 30 - 42 days ( mean 34 ) . case , skin graft applied day 33 .   Utilizing method multi - directional approach , VAC system helps patient recover faster . , acts feasible valuable method treat compound fractures massive soft - tissue defects . VAC replace microsurgical soft - tissue transfer , reduce risk infection allow salvaging limb .   Keywords : vacuum - assisted closure device , negative pressure wound treatment , compound fracture , wound debridement , flap 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.18612106144428253	bad
study aims improve students ' understanding sound wave material application guided context- problem - based learning ( GC - PBL ) models . method quasi - experimental design non - randomized control group pretest - posttest design . sample study class XI MIPA , consisted classes , class XI MIPA 3 GC - PBL class class XI MIPA 2 class C - PBL . instrument comprehension ability test . results obtained showed students GC - PBL class experienced increase high category , students C - PBL class experienced increase medium category . Differences increase understanding ability tested statistically showed significant differences . implications recommendations study discussed . 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.20657187700271606	bad
Current scenario depicts world clenched COVID-19 pandemic . Inevitably , public health safety measures undertaken order dwindle infection threat mortality . , overcome global menace drawing world moribund stage , exigency social distancing quarantines . December , 2019 , coronavirus , SARS - CoV-2 ( COVID-19 ) came existence till world state shock . point time , COVID-19 entered perilous phase , creating havoc individuals , directly implied enhanced globalisation ability virus acclimatize conditions . unabated transmission lack drugs , vaccines therapeutics viral outbreak . research underway formulate vaccines drugs means , scientific communities continuously working unravel pharmacologically active compounds offer new insight curbing infections pandemics . , topical COVID-19 situation highlights immediate need effective therapeutics SARS - CoV-2 . effort , present review discusses vital concepts related COVID-19 , terms origin , transmission , clinical aspects diagnosis . , , formulated novel concept hitherto , ancient means traditional medicines herbal plants beat pandemic . 	study planned screen marine actinobacterial extract protease inhibitor activity anti- Pf activity vitro vivo conditions . 100 isolates , 3 isolates exhibited moderate high protease inhibitor activities trypsin , chymotrypsin proteinase K. Based protease inhibitor activity 3 isolates chosen studies . potential isolate characterized polyphasic approach identified Streptomyces sp LK3 ( JF710608 ) . lead compound identified peptide Streptomyces sp LK3 . double - reciprocal plot displayed inhibition mode non - competitive confirms irreversible nature protease inhibitor . peptide Streptomyces sp LK3 extract showed significant anti plasmodial activity ( IC50 : 25.78 mg / ml ) . vivo model , highest level parasitemia suppression ( < 45 % ) observed 600 mg / kg peptide . analyses revealed significant changes observed spleen liver tissue 8 dpi . results confirmed - regulation TGF - b regulation TNF - tissue serum level PbA infected peptide treated mice compared PbA infection . results obtained infer peptide possesses anti- Pf activity activity . suggests extracts novel metabolites considered potential source drug development . 	0.233500674366951	neutral
Peptides important bioactive natural products present marine species . marine peptides high potential nutraceutical medicinal values broad spectra bioactivities . antimicrobial , antiviral , antitumor , antioxidative , cardioprotective ( antihypertensive , antiatherosclerotic anticoagulant ) , immunomodulatory , analgesic , anxiolytic anti - diabetic , appetite suppressing neuroprotective activities attracted attention pharmaceutical industry , attempts design use treatment prevention diseases . marine peptides derivatives high commercial values reached pharmaceutical nutraceutical markets . large number different phases clinical preclinical pipeline . review highlights recent research marine peptides trends prospects future , special emphasis nutraceutical pharmaceutical development marketed products . 	study planned screen marine actinobacterial extract protease inhibitor activity anti- Pf activity vitro vivo conditions . 100 isolates , 3 isolates exhibited moderate high protease inhibitor activities trypsin , chymotrypsin proteinase K. Based protease inhibitor activity 3 isolates chosen studies . potential isolate characterized polyphasic approach identified Streptomyces sp LK3 ( JF710608 ) . lead compound identified peptide Streptomyces sp LK3 . double - reciprocal plot displayed inhibition mode non - competitive confirms irreversible nature protease inhibitor . peptide Streptomyces sp LK3 extract showed significant anti plasmodial activity ( IC50 : 25.78 mg / ml ) . vivo model , highest level parasitemia suppression ( < 45 % ) observed 600 mg / kg peptide . analyses revealed significant changes observed spleen liver tissue 8 dpi . results confirmed - regulation TGF - b regulation TNF - tissue serum level PbA infected peptide treated mice compared PbA infection . results obtained infer peptide possesses anti- Pf activity activity . suggests extracts novel metabolites considered potential source drug development . 	0.22861014306545258	good
