citing_title	cited_title	abs_abs	context_context	citing_context_cited_abs	Category
School Firearm Violence Prevention Practices and Policies: Functional or Folly?	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.25668320059776306	0.2898925840854645	0.21860039234161377	good
Arming Schoolteachers: What Do We Know? Where Do We Go From Here?	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.2629832923412323	0.3154931366443634	0.2299484759569168	good
A Scoping Review of Police Involvement in School Crisis Response for Mental Health Emergencies	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.26062676310539246	0.32064905762672424	0.24478572607040405	good
A Scoping Review of Police Involvement in School Crisis Response for Mental Health Emergencies	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.26062676310539246	0.27085885405540466	0.1970340460538864	good
Teacher Preparedness for School Shootings: A Qualitative Design and Development Model Use Case Study	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.23951514065265656	0.26036593317985535	0.1738966703414917	neutral
PUBLIC SCHOOL SAFETY AND INTERVENTION PROGRAM IMPROVEMENT PARTICIPATORY ACTION RESEARCH	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.250805526971817	0.5392575263977051	0.25016239285469055	good
Outcome of Vacuum Assisted Dressing in Open Comminuted Tibial Fracture with Primary Fixation	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.18612106144428253	0.0757298544049263	0.13592255115509033	bad
PENERAPAN MODEL GUIDED CONTEXT-AND PROBLEM-BASED LEARNING	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.20657187700271606	0.17252258956432343	0.16000811755657196	bad
Herbal immune-boosters: Substantial warriors of pandemic Covid-19 battle	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.233500674366951	0.32820558547973633	0.166585311293602	neutral
Marine Peptides: Bioactivities and Applications	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.22861014306545258	0.3252488374710083	0.21335172653198242	good
Significances of exponential heating and Darcy's law for second grade fluid flow over oscillating plate by using Atangana-Baleanu fractional derivatives	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.20424838364124298	0.1174883022904396	0.11211792379617691	bad
Global quantitative and qualitative assessment of drought research from 1861 to 2019	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.20121879875659943	0.12980547547340393	0.13464564085006714	bad
Depression, anxiety, stress and their associated factors among Ethiopian University students during an early stage of COVID-19 pandemic: An online-based cross-sectional survey	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.2185700386762619	0.09139009565114975	0.14770422875881195	bad
