citing_context	cited_abs	Cos_similarity	cited_author	Category
For example , national study parents high school students , almost tenth parents ( 9 % ) reported firearm - related incident occurred child 's school within past 5 years ( e.g. , student found with gun on campus , bullet found , student threatened peers with guns , etc . ) 	Firearm violence remains significant problem US ( with 2787 adolescents killed 2015 ) . However , research on school firearm violence prevention practices and policies scant . Parents major stakeholders relation firearm violence by youths and school safety general . purpose study examine parents thought schools should reduce risk firearm violence schools . valid and reliable questionnaire mailed national random sample 600 parents who least one child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services for youth ( 54 % ) , and easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived most effective reducing firearm violence installing alert system schools ( 70 % ) , working with law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks for all school personnel prior hiring ( 67 % ) , and implementing anonymous system for students report peer concerns regarding potential violence ( 67 % ) . Parents seem have limited grasp potentially effective interventions reduce firearm violence . 	0.2029554843902588	Erika Payton	good
recent study used national sample found more than half parents school - aged children oppose school personnel carrying firearms 	Firearm violence remains significant problem US ( with 2787 adolescents killed 2015 ) . However , research on school firearm violence prevention practices and policies scant . Parents major stakeholders relation firearm violence by youths and school safety general . purpose study examine parents thought schools should reduce risk firearm violence schools . valid and reliable questionnaire mailed national random sample 600 parents who least one child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services for youth ( 54 % ) , and easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived most effective reducing firearm violence installing alert system schools ( 70 % ) , working with law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks for all school personnel prior hiring ( 67 % ) , and implementing anonymous system for students report peer concerns regarding potential violence ( 67 % ) . Parents seem have limited grasp potentially effective interventions reduce firearm violence . 	0.20133328437805176	Erika Payton	good
one survey , parents supportive school - law enforcement partnerships promote safety and respond violence schools , and also saw relationship between improving mental health services generally and reducing school violence 	Firearm violence remains significant problem US ( with 2787 adolescents killed 2015 ) . However , research on school firearm violence prevention practices and policies scant . Parents major stakeholders relation firearm violence by youths and school safety general . purpose study examine parents thought schools should reduce risk firearm violence schools . valid and reliable questionnaire mailed national random sample 600 parents who least one child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services for youth ( 54 % ) , and easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived most effective reducing firearm violence installing alert system schools ( 70 % ) , working with law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks for all school personnel prior hiring ( 67 % ) , and implementing anonymous system for students report peer concerns regarding potential violence ( 67 % ) . Parents seem have limited grasp potentially effective interventions reduce firearm violence . 	0.2171468287706375	Erika Payton	good
survey with primarily White ( 76 % respondents ) , suburban ( 54 % respondents ) , and male ( 56 % respondents ) sample and may not represent views all parents , particularly urban school districts or Black- or Hispanic - majority schools 	Firearm violence remains significant problem US ( with 2787 adolescents killed 2015 ) . However , research on school firearm violence prevention practices and policies scant . Parents major stakeholders relation firearm violence by youths and school safety general . purpose study examine parents thought schools should reduce risk firearm violence schools . valid and reliable questionnaire mailed national random sample 600 parents who least one child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services for youth ( 54 % ) , and easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived most effective reducing firearm violence installing alert system schools ( 70 % ) , working with law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks for all school personnel prior hiring ( 67 % ) , and implementing anonymous system for students report peer concerns regarding potential violence ( 67 % ) . Parents seem have limited grasp potentially effective interventions reduce firearm violence . 	0.18328893184661865	Erika Payton	good
Since tragic events Columbine April 1999 , many schools across country began safety initiatives with or without help law enforcement and other trained professionals 	Firearm violence remains significant problem US ( with 2787 adolescents killed 2015 ) . However , research on school firearm violence prevention practices and policies scant . Parents major stakeholders relation firearm violence by youths and school safety general . purpose study examine parents thought schools should reduce risk firearm violence schools . valid and reliable questionnaire mailed national random sample 600 parents who least one child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services for youth ( 54 % ) , and easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived most effective reducing firearm violence installing alert system schools ( 70 % ) , working with law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks for all school personnel prior hiring ( 67 % ) , and implementing anonymous system for students report peer concerns regarding potential violence ( 67 % ) . Parents seem have limited grasp potentially effective interventions reduce firearm violence . 	0.17908771336078644	Erika Payton	neutral
purpose study assess parental thoughts on high school administrators should reduce risk firearm violence schools 	Firearm violence remains significant problem US ( with 2787 adolescents killed 2015 ) . However , research on school firearm violence prevention practices and policies scant . Parents major stakeholders relation firearm violence by youths and school safety general . purpose study examine parents thought schools should reduce risk firearm violence schools . valid and reliable questionnaire mailed national random sample 600 parents who least one child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services for youth ( 54 % ) , and easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived most effective reducing firearm violence installing alert system schools ( 70 % ) , working with law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks for all school personnel prior hiring ( 67 % ) , and implementing anonymous system for students report peer concerns regarding potential violence ( 67 % ) . Parents seem have limited grasp potentially effective interventions reduce firearm violence . 	0.21298789978027344	Erika Payton	good
Vacuum assisted closure ( VAC ) ( Kinche , Concepts , Inc , San Antonio , TX , USA ) treatment provides good environment allows for both open and closed treatment , better wound healing procedures under moist , hygienic , sterile conditions . 	Firearm violence remains significant problem US ( with 2787 adolescents killed 2015 ) . However , research on school firearm violence prevention practices and policies scant . Parents major stakeholders relation firearm violence by youths and school safety general . purpose study examine parents thought schools should reduce risk firearm violence schools . valid and reliable questionnaire mailed national random sample 600 parents who least one child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services for youth ( 54 % ) , and easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived most effective reducing firearm violence installing alert system schools ( 70 % ) , working with law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks for all school personnel prior hiring ( 67 % ) , and implementing anonymous system for students report peer concerns regarding potential violence ( 67 % ) . Parents seem have limited grasp potentially effective interventions reduce firearm violence . 	0.12341419607400894	Erika Payton	bad
Students generally have difficulty studying sound waves , result many show scientific misunderstandings 	Firearm violence remains significant problem US ( with 2787 adolescents killed 2015 ) . However , research on school firearm violence prevention practices and policies scant . Parents major stakeholders relation firearm violence by youths and school safety general . purpose study examine parents thought schools should reduce risk firearm violence schools . valid and reliable questionnaire mailed national random sample 600 parents who least one child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services for youth ( 54 % ) , and easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived most effective reducing firearm violence installing alert system schools ( 70 % ) , working with law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks for all school personnel prior hiring ( 67 % ) , and implementing anonymous system for students report peer concerns regarding potential violence ( 67 % ) . Parents seem have limited grasp potentially effective interventions reduce firearm violence . 	0.12859581410884857	Erika Payton	bad
report by Karthik et al . ( 2014 ) , revealed presence marine saline soil indication adaptation process which might have established during application 	study planned screen marine actinobacterial extract for protease inhibitor activity and anti- Pf activity under vitro and vivo conditions . Out 100 isolates , only 3 isolates exhibited moderate high protease inhibitor activities on trypsin , chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates chosen for further studies . potential isolate characterized by polyphasic approach and identified Streptomyces sp LK3 ( JF710608 ) . lead compound identified peptide Streptomyces sp LK3 . double - reciprocal plot displayed inhibition mode non - competitive and confirms irreversible nature protease inhibitor . peptide Streptomyces sp LK3 extract showed significant anti plasmodial activity ( IC50 : 25.78 mg / ml ) . vivo model , highest level parasitemia suppression ( < 45 % ) observed 600 mg / kg peptide . analyses revealed no significant changes observed spleen and liver tissue during 8 dpi . results confirmed up - regulation TGF - b and down regulation TNF - tissue and serum level PbA infected peptide treated mice compared PbA infection . results obtained infer peptide possesses anti- Pf activity activity . suggests extracts have novel metabolites and could considered potential source for drug development . 	0.16349709033966064	L. Karthik 	neutral
peptide isolated Streptomyces sp . LK3 extract manifested activity against malaria parasite Plasmodium 	study planned screen marine actinobacterial extract for protease inhibitor activity and anti- Pf activity under vitro and vivo conditions . Out 100 isolates , only 3 isolates exhibited moderate high protease inhibitor activities on trypsin , chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates chosen for further studies . potential isolate characterized by polyphasic approach and identified Streptomyces sp LK3 ( JF710608 ) . lead compound identified peptide Streptomyces sp LK3 . double - reciprocal plot displayed inhibition mode non - competitive and confirms irreversible nature protease inhibitor . peptide Streptomyces sp LK3 extract showed significant anti plasmodial activity ( IC50 : 25.78 mg / ml ) . vivo model , highest level parasitemia suppression ( < 45 % ) observed 600 mg / kg peptide . analyses revealed no significant changes observed spleen and liver tissue during 8 dpi . results confirmed up - regulation TGF - b and down regulation TNF - tissue and serum level PbA infected peptide treated mice compared PbA infection . results obtained infer peptide possesses anti- Pf activity activity . suggests extracts have novel metabolites and could considered potential source for drug development . 	0.20372648537158966	L. Karthik 	good
