citing_context	cited_abs	Cos_similarity	Category
example , national study parents high school students , tenth parents ( 9 % ) reported firearm - related incident occurred child school past 5 years ( e.g. , student found gun campus , bullet found , student threatened peers guns , etc . ) 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.21860039234161377	good
recent study national sample found half parents school - aged children oppose school personnel carrying firearms 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.2299484759569168	good
survey , parents supportive school - law enforcement partnerships promote safety respond violence schools , saw relationship improving mental health services generally reducing school violence 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.24478572607040405	good
survey primarily White ( 76 % respondents ) , suburban ( 54 % respondents ) , male ( 56 % respondents ) sample represent views parents , particularly urban school districts Black- Hispanic - majority schools 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.1970340460538864	good
tragic events Columbine April 1999 , schools country began safety initiatives help law enforcement trained professionals 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.1738966703414917	neutral
purpose study assess parental thoughts high school administrators reduce risk firearm violence schools 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.25016239285469055	good
Vacuum assisted closure ( VAC ) ( Kinche , Concepts , Inc , San Antonio , TX , USA ) treatment provides good environment allows open closed treatment , better wound healing procedures moist , hygienic , sterile conditions . 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.13592255115509033	bad
Students generally difficulty studying sound waves , result scientific misunderstandings 	Firearm violence remains significant problem ( 2787 adolescents killed 2015 ) . , research school firearm violence prevention practices policies scant . Parents major stakeholders relation firearm violence youths school safety general . purpose study examine parents thought schools reduce risk firearm violence schools . valid reliable questionnaire mailed national random sample 600 parents child enrolled public secondary school ( response rate=47 % ) . Parents perceived inadequate parental monitoring / rearing practices ( 73 % ) , peer harassment and/or bullying ( 58 % ) , inadequate mental health care services youth ( 54 % ) , easy access guns ( 51 % ) major causes firearm violence schools . school policies perceived effective reducing firearm violence installing alert system schools ( 70 % ) , working law enforcement design emergency response plan ( 70 % ) , creating comprehensive security plan ( 68 % ) , requiring criminal background checks school personnel prior hiring ( 67 % ) , implementing anonymous system students report peer concerns potential violence ( 67 % ) . Parents limited grasp potentially effective interventions reduce firearm violence . 	0.16000811755657196	bad
report Karthik et al . ( 2014 ) , revealed presence marine saline soil indication adaptation process established application 	study planned screen marine actinobacterial extract protease inhibitor activity anti- Pf activity vitro vivo conditions . 100 isolates , 3 isolates exhibited moderate high protease inhibitor activities trypsin , chymotrypsin proteinase K. Based protease inhibitor activity 3 isolates chosen studies . potential isolate characterized polyphasic approach identified Streptomyces sp LK3 ( JF710608 ) . lead compound identified peptide Streptomyces sp LK3 . double - reciprocal plot displayed inhibition mode non - competitive confirms irreversible nature protease inhibitor . peptide Streptomyces sp LK3 extract showed significant anti plasmodial activity ( IC50 : 25.78 mg / ml ) . vivo model , highest level parasitemia suppression ( < 45 % ) observed 600 mg / kg peptide . analyses revealed significant changes observed spleen liver tissue 8 dpi . results confirmed - regulation TGF - b regulation TNF - tissue serum level PbA infected peptide treated mice compared PbA infection . results obtained infer peptide possesses anti- Pf activity activity . suggests extracts novel metabolites considered potential source drug development . 	0.166585311293602	neutral
peptide isolated Streptomyces sp . LK3 extract manifested activity malaria parasite Plasmodium 	study planned screen marine actinobacterial extract protease inhibitor activity anti- Pf activity vitro vivo conditions . 100 isolates , 3 isolates exhibited moderate high protease inhibitor activities trypsin , chymotrypsin proteinase K. Based protease inhibitor activity 3 isolates chosen studies . potential isolate characterized polyphasic approach identified Streptomyces sp LK3 ( JF710608 ) . lead compound identified peptide Streptomyces sp LK3 . double - reciprocal plot displayed inhibition mode non - competitive confirms irreversible nature protease inhibitor . peptide Streptomyces sp LK3 extract showed significant anti plasmodial activity ( IC50 : 25.78 mg / ml ) . vivo model , highest level parasitemia suppression ( < 45 % ) observed 600 mg / kg peptide . analyses revealed significant changes observed spleen liver tissue 8 dpi . results confirmed - regulation TGF - b regulation TNF - tissue serum level PbA infected peptide treated mice compared PbA infection . results obtained infer peptide possesses anti- Pf activity activity . suggests extracts novel metabolites considered potential source drug development . 	0.21335172653198242	good
