citing_context	cited_abs	Cos_similarity	Category
For example, in a national study of parents of high school students, almost a tenth of the parents (9%) reported that a firearm-related incident had occurred in their child's school within the past 5 years (e.g., student found with gun on campus, bullet found, student threatened peers with guns, etc.)	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	0.30904915928840637	good
a recent study that used a national sample found that more than half of the parents of school-aged children oppose school personnel carrying firearms	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	0.2468675971031189	good
In one survey, parents were supportive of school-law enforcement partnerships to promote safety and respond to violence in schools, and they also saw a relationship between improving mental health services generally and reducing school violence	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	0.22507353127002716	good
This survey was with a primarily White (76% of respondents), suburban (54% of respondents), and male (56% of respondents) sample and may not represent the views of all parents, particularly those from urban school districts or Black- or Hispanic-majority schools	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	0.2615804076194763	good
Since the tragic events at Columbine in April 1999, many schools across the country began safety initiatives with or without the help of law enforcement and other trained professionals	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	0.28364160656929016	neutral
The purpose of the study was to assess parental thoughts on what high school administrators should be doing to reduce the risk of firearm violence in schools	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	0.27289873361587524	good
Vacuum assisted closure (VAC) (Kinche, Concepts, Inc, San Antonio, TX, USA) treatment provides a good environment that allows for both open and closed treatment, better wound healing procedures under moist, hygienic, sterile conditions.	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	0.2374524474143982	bad
Students generally have difficulty in studying sound waves, as a result many of them show scientific misunderstandings	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	0.21459434926509857	bad
A report by Karthik et al. (2014), revealed their presence in the marine saline soil is an indication of an adaptation process which might have established during application	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 mg/ml). In in vivo model, the highest level of parasitemia suppression (<45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-b and down regulation of TNF-a in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development. 	0.2516098916530609	neutral
The peptide isolated from Streptomyces sp. LK3 extract manifested activity against the malaria parasite Plasmodium	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 mg/ml). In in vivo model, the highest level of parasitemia suppression (<45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-b and down regulation of TNF-a in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development. 	0.2624884843826294	good
