citing_context	cited_abs	Cos_similarity	Category
Other design approaches, such as grounded theory, are similarly inappropriate because the purpose of grounded theory is to compare empirical findings to the conceptual theory based on inductive interpretation (Carlsen & Glenton, 2011).	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	0.14290480315685272	error
The quality of a study is also limited based on the skills of the researcher and the researcher’s personal bias (Carlsen & Glenton, 2011).	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	0.1549619734287262	error
A purposeful sample set allows the researcher to choose organizations that fit the boundaries of the study (Carlsen & Glenton, 2011).	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	0.1452367901802063	error
A researcher uses a focus group discussion to combine various perspectives regarding a specific topic of interest to share information (Carlsen & Glenton, 2011).	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	0.12291756272315979	good
Carlsen and Glenton (2011) concluded that focus groups tend to contain a small number of participants and even fewer numbers of focus groups to promote interaction and communication among participants.	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	0.12297248095273972	error
A general rule for data saturation in qualitative research occurs when no new themes emerge (Carlsen & Glenton, 2011; Walker, 2012).	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	0.1156264916062355	error
A researcher ensures data saturation through the appropriate use of data collection methods that fit the research objectives and collecting data to the point that no new information emerges from the participants’ responses (Carlsen & Glenton, 2011).	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	0.15574617683887482	error
A researcher conducting a focus group session explores experiences and perspectives of a cross-section of key decision makers (Carlsen & Glenton, 2011; Gill, 2014).	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	0.12087657302618027	error
The role of the researcher is to keep the focus group on track and encourage interaction among participants (Carlsen & Glenton, 2011).	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	0.14376766979694366	good
The length of a focus group session, the number of participants, and the number of focus group sessions depend on the complexity of the research question and the resources available (Carlsen & Glenton, 2011; O’Reilly & Parker, 2013).	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	0.170450821518898	error
