citing_context	cited_context	Cos_similarity	Category
For example, in a national study of parents of high school students, almost a tenth of the parents (9%) reported that a firearm-related incident had occurred in their child's school within the past 5 years (e.g., student found with gun on campus, bullet found, student threatened peers with guns, etc.)	In the past 5 years had a firearm incident at your child’s school(8.6%),	0.6800447106361389	good
a recent study that used a national sample found that more than half of the parents of school-aged children oppose school personnel carrying firearms	Support school personnel carrying firearms at child’s school (45.9%)	0.7339375615119934	good
In one survey, parents were supportive of school-law enforcement partnerships to promote safety and respond to violence in schools, and they also saw a relationship between improving mental health services generally and reducing school violence	The top five policies supported as “very effective” were: work with law enforcement to design and implement an emergency response plan. Two of the five policies were  selected as being very effective in reducing firearm violence by the majority of parents: require background  checks for all gun purchases (63.4%) and increase funding  for mental health services (56.8%)	0.5913413166999817	good
This survey was with a primarily White (76% of respondents), suburban (54% of respondents), and male (56% of respondents) sample and may not represent the views of all parents, particularly those from urban school districts or Black- or Hispanic-majority schools	White  (75.9%) Suburban (53.7%)  Male  (55.7%)	0.6715524196624756	good
Since the tragic events at Columbine in April 1999, many schools across the country began safety initiatives with or without the help of law enforcement and other trained professionals	The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%) 	0.7294869422912598	neutral
The purpose of the study was to assess parental thoughts on what high school administrators should be doing to reduce the risk of firearm violence in schools	The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. 	0.7758636474609375	good
Vacuum assisted closure (VAC) (Kinche, Concepts, Inc, San Antonio, TX, USA) treatment provides a good environment that allows for both open and closed treatment, better wound healing procedures under moist, hygienic, sterile conditions.	0	0.5544495582580566	bad
Students generally have difficulty in studying sound waves, as a result many of them show scientific misunderstandings	0	0.7218713164329529	bad
A report by Karthik et al. (2014), revealed their presence in the marine saline soil is an indication of an adaptation process which might have established during application	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions 	0.6746676564216614	neutral
The peptide isolated from Streptomyces sp. LK3 extract manifested activity against the malaria parasite Plasmodium	The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity 	0.7470248341560364	good
Then Boussinesq's approximation, the governing equations of such flow in the form of partial differential equation will become as	0	0.6743416786193848	bad
Such a dual approach moreover allows for the determination of national/international research interests as well as performance in a particular field (in this case droughts) in order to pre-inform national/international future research plans, priorities, fund allocations, and partnership outsourcing for collaborations, among other things	0	0.584743082523346	bad
Those without clear information are liable to misinformation and there is a growing body of literature that reveals the link between misinformation and mental illness	0	0.6840982437133789	bad
