citing_title	citing_context	citing_abs	citing_author	citing_doi	cited_title	cited_context	cited_abs	cited_author	cited_doi	category
Networking the Relationships of Microenterprise Development in Bulgaria	Other design approaches, such as grounded theory, are similarly inappropriate because the purpose of grounded theory is to compare empirical findings to the conceptual theory based on inductive interpretation (Carlsen & Glenton, 2011).	The networking relationships provided by microenterprise development (MED) organizations foster sustainable and scalable Bulgarian small businesses. Some Bulgarian MED leaders lack the strategies to help sustain small businesses in Bulgaria. Guided by the actor network theory, the purpose of this case study was to explore the strategies MED leaders use to help sustain small businesses in Bulgaria. Data were collected through a semistructured focus group comprised of MED Bulgarian business leaders (n = 4) in Rhodope Mountain Region and company data consisting of financial reports, marketing presentations, and company business plan. The data analysis included using keyword frequency comparisons, coding techniques, and cluster analysis. Three themes emerged from the findings: access to financial and nonfinancial capital, networking and relationships, and sustainability and scalability. According to the study results, strategies and scalability impede the ability to expand and service more small business owners. The recommended change in business practices of MED leaders included the formalization of networks of other MED leaders and partner organizations to efficiently meet the demands of the Bulgarian small business market. The implications for social change include the need for networks to aid entrepreneurs in gaining market access, obtaining capital resources, and maintaining sustainability that contributes to the economic and social development of Bulgaria. 	Kristina Harris 	0	What about N? A methodological study of sample-size reporting in focus group studies 	Among those stating that they had reached a point of saturation, several appeared not to have followed principles from grounded theory where data collection and analysis is an iterative process until saturation is reached. 	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	Carlsen and Glenton 	10.1186/1471-2288-11-26	error
Networking the Relationships of Microenterprise Development in Bulgaria	The quality of a study is also limited based on the skills of the researcher and the researcher’s personal bias (Carlsen & Glenton, 2011).	The networking relationships provided by microenterprise development (MED) organizations foster sustainable and scalable Bulgarian small businesses. Some Bulgarian MED leaders lack the strategies to help sustain small businesses in Bulgaria. Guided by the actor network theory, the purpose of this case study was to explore the strategies MED leaders use to help sustain small businesses in Bulgaria. Data were collected through a semistructured focus group comprised of MED Bulgarian business leaders (n = 4) in Rhodope Mountain Region and company data consisting of financial reports, marketing presentations, and company business plan. The data analysis included using keyword frequency comparisons, coding techniques, and cluster analysis. Three themes emerged from the findings: access to financial and nonfinancial capital, networking and relationships, and sustainability and scalability. According to the study results, strategies and scalability impede the ability to expand and service more small business owners. The recommended change in business practices of MED leaders included the formalization of networks of other MED leaders and partner organizations to efficiently meet the demands of the Bulgarian small business market. The implications for social change include the need for networks to aid entrepreneurs in gaining market access, obtaining capital resources, and maintaining sustainability that contributes to the economic and social development of Bulgaria. 	Kristina Harris 	0	What about N? A methodological study of sample-size reporting in focus group studies 	Nevertheless, the quality of qualitative studies does depend on the depth and richness of the data and its analysis 	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	Carlsen and Glenton 	10.1186/1471-2288-11-27	error
Networking the Relationships of Microenterprise Development in Bulgaria	A purposeful sample set allows the researcher to choose organizations that fit the boundaries of the study (Carlsen & Glenton, 2011).	The networking relationships provided by microenterprise development (MED) organizations foster sustainable and scalable Bulgarian small businesses. Some Bulgarian MED leaders lack the strategies to help sustain small businesses in Bulgaria. Guided by the actor network theory, the purpose of this case study was to explore the strategies MED leaders use to help sustain small businesses in Bulgaria. Data were collected through a semistructured focus group comprised of MED Bulgarian business leaders (n = 4) in Rhodope Mountain Region and company data consisting of financial reports, marketing presentations, and company business plan. The data analysis included using keyword frequency comparisons, coding techniques, and cluster analysis. Three themes emerged from the findings: access to financial and nonfinancial capital, networking and relationships, and sustainability and scalability. According to the study results, strategies and scalability impede the ability to expand and service more small business owners. The recommended change in business practices of MED leaders included the formalization of networks of other MED leaders and partner organizations to efficiently meet the demands of the Bulgarian small business market. The implications for social change include the need for networks to aid entrepreneurs in gaining market access, obtaining capital resources, and maintaining sustainability that contributes to the economic and social development of Bulgaria. 	Kristina Harris 	0	What about N? A methodological study of sample-size reporting in focus group studies 	In their paper of around 3000 words, the authors have not specifically referred to the term “saturation” but have offered a clear description of the sampling procedure and how saturation was met: 	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	Carlsen and Glenton 	10.1186/1471-2288-11-28	error
Networking the Relationships of Microenterprise Development in Bulgaria	A researcher uses a focus group discussion to combine various perspectives regarding a specific topic of interest to share information (Carlsen & Glenton, 2011).	The networking relationships provided by microenterprise development (MED) organizations foster sustainable and scalable Bulgarian small businesses. Some Bulgarian MED leaders lack the strategies to help sustain small businesses in Bulgaria. Guided by the actor network theory, the purpose of this case study was to explore the strategies MED leaders use to help sustain small businesses in Bulgaria. Data were collected through a semistructured focus group comprised of MED Bulgarian business leaders (n = 4) in Rhodope Mountain Region and company data consisting of financial reports, marketing presentations, and company business plan. The data analysis included using keyword frequency comparisons, coding techniques, and cluster analysis. Three themes emerged from the findings: access to financial and nonfinancial capital, networking and relationships, and sustainability and scalability. According to the study results, strategies and scalability impede the ability to expand and service more small business owners. The recommended change in business practices of MED leaders included the formalization of networks of other MED leaders and partner organizations to efficiently meet the demands of the Bulgarian small business market. The implications for social change include the need for networks to aid entrepreneurs in gaining market access, obtaining capital resources, and maintaining sustainability that contributes to the economic and social development of Bulgaria. 	Kristina Harris 	0	What about N? A methodological study of sample-size reporting in focus group studies 	Our objectives were firstly, to describe the current status of sample size in focus group studies reported in health journals. Secondly, to assess whether and how researchers explain the number of focus groups they carry out 	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	Carlsen and Glenton 	10.1186/1471-2288-11-29	good
Networking the Relationships of Microenterprise Development in Bulgaria	Carlsen and Glenton (2011) concluded that focus groups tend to contain a small number of participants and even fewer numbers of focus groups to promote interaction and communication among participants.	The networking relationships provided by microenterprise development (MED) organizations foster sustainable and scalable Bulgarian small businesses. Some Bulgarian MED leaders lack the strategies to help sustain small businesses in Bulgaria. Guided by the actor network theory, the purpose of this case study was to explore the strategies MED leaders use to help sustain small businesses in Bulgaria. Data were collected through a semistructured focus group comprised of MED Bulgarian business leaders (n = 4) in Rhodope Mountain Region and company data consisting of financial reports, marketing presentations, and company business plan. The data analysis included using keyword frequency comparisons, coding techniques, and cluster analysis. Three themes emerged from the findings: access to financial and nonfinancial capital, networking and relationships, and sustainability and scalability. According to the study results, strategies and scalability impede the ability to expand and service more small business owners. The recommended change in business practices of MED leaders included the formalization of networks of other MED leaders and partner organizations to efficiently meet the demands of the Bulgarian small business market. The implications for social change include the need for networks to aid entrepreneurs in gaining market access, obtaining capital resources, and maintaining sustainability that contributes to the economic and social development of Bulgaria. 	Kristina Harris 	0	What about N? A methodological study of sample-size reporting in focus group studies 	Thus, some authors suggest that if the number of participants in a study is small, it is possible to increase the number of groups by reducing the size of the groups [4]. 	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	Carlsen and Glenton 	10.1186/1471-2288-11-30	error
Networking the Relationships of Microenterprise Development in Bulgaria	A general rule for data saturation in qualitative research occurs when no new themes emerge (Carlsen & Glenton, 2011; Walker, 2012).	The networking relationships provided by microenterprise development (MED) organizations foster sustainable and scalable Bulgarian small businesses. Some Bulgarian MED leaders lack the strategies to help sustain small businesses in Bulgaria. Guided by the actor network theory, the purpose of this case study was to explore the strategies MED leaders use to help sustain small businesses in Bulgaria. Data were collected through a semistructured focus group comprised of MED Bulgarian business leaders (n = 4) in Rhodope Mountain Region and company data consisting of financial reports, marketing presentations, and company business plan. The data analysis included using keyword frequency comparisons, coding techniques, and cluster analysis. Three themes emerged from the findings: access to financial and nonfinancial capital, networking and relationships, and sustainability and scalability. According to the study results, strategies and scalability impede the ability to expand and service more small business owners. The recommended change in business practices of MED leaders included the formalization of networks of other MED leaders and partner organizations to efficiently meet the demands of the Bulgarian small business market. The implications for social change include the need for networks to aid entrepreneurs in gaining market access, obtaining capital resources, and maintaining sustainability that contributes to the economic and social development of Bulgaria. 	Kristina Harris 	0	What about N? A methodological study of sample-size reporting in focus group studies 	the basic procedure of selecting informants and deciding on the number of groups through a constant process of analysing data and obtaining new data until no new essential information is found, remains. 	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	Carlsen and Glenton 	10.1186/1471-2288-11-31	error
Networking the Relationships of Microenterprise Development in Bulgaria	A researcher ensures data saturation through the appropriate use of data collection methods that fit the research objectives and collecting data to the point that no new information emerges from the participants’ responses (Carlsen & Glenton, 2011).	The networking relationships provided by microenterprise development (MED) organizations foster sustainable and scalable Bulgarian small businesses. Some Bulgarian MED leaders lack the strategies to help sustain small businesses in Bulgaria. Guided by the actor network theory, the purpose of this case study was to explore the strategies MED leaders use to help sustain small businesses in Bulgaria. Data were collected through a semistructured focus group comprised of MED Bulgarian business leaders (n = 4) in Rhodope Mountain Region and company data consisting of financial reports, marketing presentations, and company business plan. The data analysis included using keyword frequency comparisons, coding techniques, and cluster analysis. Three themes emerged from the findings: access to financial and nonfinancial capital, networking and relationships, and sustainability and scalability. According to the study results, strategies and scalability impede the ability to expand and service more small business owners. The recommended change in business practices of MED leaders included the formalization of networks of other MED leaders and partner organizations to efficiently meet the demands of the Bulgarian small business market. The implications for social change include the need for networks to aid entrepreneurs in gaining market access, obtaining capital resources, and maintaining sustainability that contributes to the economic and social development of Bulgaria. 	Kristina Harris 	0	What about N? A methodological study of sample-size reporting in focus group studies 	For good results, just a few focus groups are sufficient, as data become saturated and little new information emerges after the first few groups [Morgan 96] [55]. Data collection and analysis is an iterative process until saturation is reached	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	Carlsen and Glenton 	10.1186/1471-2288-11-32	error
Networking the Relationships of Microenterprise Development in Bulgaria	A researcher conducting a focus group session explores experiences and perspectives of a cross-section of key decision makers (Carlsen & Glenton, 2011; Gill, 2014).	The networking relationships provided by microenterprise development (MED) organizations foster sustainable and scalable Bulgarian small businesses. Some Bulgarian MED leaders lack the strategies to help sustain small businesses in Bulgaria. Guided by the actor network theory, the purpose of this case study was to explore the strategies MED leaders use to help sustain small businesses in Bulgaria. Data were collected through a semistructured focus group comprised of MED Bulgarian business leaders (n = 4) in Rhodope Mountain Region and company data consisting of financial reports, marketing presentations, and company business plan. The data analysis included using keyword frequency comparisons, coding techniques, and cluster analysis. Three themes emerged from the findings: access to financial and nonfinancial capital, networking and relationships, and sustainability and scalability. According to the study results, strategies and scalability impede the ability to expand and service more small business owners. The recommended change in business practices of MED leaders included the formalization of networks of other MED leaders and partner organizations to efficiently meet the demands of the Bulgarian small business market. The implications for social change include the need for networks to aid entrepreneurs in gaining market access, obtaining capital resources, and maintaining sustainability that contributes to the economic and social development of Bulgaria. 	Kristina Harris 	0	What about N? A methodological study of sample-size reporting in focus group studies 	By conducting a large number of focus groups with a significant cross-section of the facility’s employees, we reduced the possibility that results would be dramatically affected by a single focus group or methodological choice during coding [37]. 	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	Carlsen and Glenton 	10.1186/1471-2288-11-33	error
Networking the Relationships of Microenterprise Development in Bulgaria	The role of the researcher is to keep the focus group on track and encourage interaction among participants (Carlsen & Glenton, 2011).	The networking relationships provided by microenterprise development (MED) organizations foster sustainable and scalable Bulgarian small businesses. Some Bulgarian MED leaders lack the strategies to help sustain small businesses in Bulgaria. Guided by the actor network theory, the purpose of this case study was to explore the strategies MED leaders use to help sustain small businesses in Bulgaria. Data were collected through a semistructured focus group comprised of MED Bulgarian business leaders (n = 4) in Rhodope Mountain Region and company data consisting of financial reports, marketing presentations, and company business plan. The data analysis included using keyword frequency comparisons, coding techniques, and cluster analysis. Three themes emerged from the findings: access to financial and nonfinancial capital, networking and relationships, and sustainability and scalability. According to the study results, strategies and scalability impede the ability to expand and service more small business owners. The recommended change in business practices of MED leaders included the formalization of networks of other MED leaders and partner organizations to efficiently meet the demands of the Bulgarian small business market. The implications for social change include the need for networks to aid entrepreneurs in gaining market access, obtaining capital resources, and maintaining sustainability that contributes to the economic and social development of Bulgaria. 	Kristina Harris 	0	What about N? A methodological study of sample-size reporting in focus group studies 	the emphasis is on the interaction between the participants rather than between the moderator or researcher and the participants [4] 	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	Carlsen and Glenton 	10.1186/1471-2288-11-34	good
Networking the Relationships of Microenterprise Development in Bulgaria	The length of a focus group session, the number of participants, and the number of focus group sessions depend on the complexity of the research question and the resources available (Carlsen & Glenton, 2011; O’Reilly & Parker, 2013).	The networking relationships provided by microenterprise development (MED) organizations foster sustainable and scalable Bulgarian small businesses. Some Bulgarian MED leaders lack the strategies to help sustain small businesses in Bulgaria. Guided by the actor network theory, the purpose of this case study was to explore the strategies MED leaders use to help sustain small businesses in Bulgaria. Data were collected through a semistructured focus group comprised of MED Bulgarian business leaders (n = 4) in Rhodope Mountain Region and company data consisting of financial reports, marketing presentations, and company business plan. The data analysis included using keyword frequency comparisons, coding techniques, and cluster analysis. Three themes emerged from the findings: access to financial and nonfinancial capital, networking and relationships, and sustainability and scalability. According to the study results, strategies and scalability impede the ability to expand and service more small business owners. The recommended change in business practices of MED leaders included the formalization of networks of other MED leaders and partner organizations to efficiently meet the demands of the Bulgarian small business market. The implications for social change include the need for networks to aid entrepreneurs in gaining market access, obtaining capital resources, and maintaining sustainability that contributes to the economic and social development of Bulgaria. 	Kristina Harris 	0	What about N? A methodological study of sample-size reporting in focus group studies 	the number of focus groups depends on the complexity of the research question and the composition of the groups. 	Background: Focus group studies are increasingly published in health related journals, but we know little abouthow researchers use this method, particularly how they determine the number of focus groups to conduct. Themethodological literature commonly advises researchers to follow principles of data saturation, although practicaladvise on how to do this is lacking. Our objectives were firstly, to describe the current status of sample size infocus group studies reported in health journals. Secondly, to assess whether and how researchers explain thenumber of focus groups they carry out. Methods: We searched PubMed for studies that had used focus groups and that had been published in open access journals during 2008, and extracted data on the number of focus groups and on any explanation authorsgave for this number. We also did a qualitative assessment of the papers with regard to how number of groupswas explained and discussed. Results: We identified 220 papers published in 117 journals. In these papers insufficient reporting of sample sizes was common. The number of focus groups conducted varied greatly (mean 8.4, median 5, range 1 to 96). Thirtyseven (17%) studies attempted to explain the number of groups. Six studies referred to rules of thumb in theliterature, three stated that they were unable to organize more groups for practical reasons, while 28 studies statedthat they had reached a point of saturation. Among those stating that they had reached a point of saturation,several appeared not to have followed principles from grounded theory where data collection and analysis is aniterative process until saturation is reached. Studies with high numbers of focus groups did not offer explanationsfor number of groups. Too much data as a study weakness was not an issue discussed in any of the reviewedpapers. Conclusions: Based on these findings we suggest that journals adopt more stringent requirements for focus groupmethod reporting. The often poor and inconsistent reporting seen in these studies may also reflect the lack ofclear, evidence-based guidance about deciding on sample size. More empirical research is needed to developfocus group methodology. 	Carlsen and Glenton 	10.1186/1471-2288-11-35	error
